date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2016-07-03,115.0,55.0,14.0,22.0,20.0,4.0,3,7,2016
2016-07-04,122.0,106.0,10.0,11.0,11.0,12.0,4,7,2016
2016-07-05,165.0,65.0,6.0,7.0,6.0,5.0,5,7,2016
2016-07-06,157.0,31.0,5.0,4.0,4.0,5.0,6,7,2016
2016-07-07,83.0,33.0,5.0,4.0,3.0,5.0,7,7,2016
2016-07-08,82.0,23.0,22.0,3.0,2.0,5.0,8,7,2016
2016-07-09,66.0,15.0,1.0,2.0,2.0,5.0,9,7,2016
2016-07-10,49.0,30.0,1.0,3.0,2.0,5.0,10,7,2016
2016-07-11,81.0,23.0,1.0,3.0,2.0,5.0,11,7,2016
2016-07-12,67.0,24.0,28.0,3.0,2.0,6.0,12,7,2016
2016-07-13,67.0,25.0,4.0,3.0,2.0,7.0,13,7,2016
2016-07-14,69.0,24.0,3.0,9.0,3.0,3.0,14,7,2016
2016-07-15,66.0,22.0,4.0,3.0,4.0,3.0,15,7,2016
2016-07-16,59.0,19.0,5.0,5.0,2.0,4.0,16,7,2016
2016-07-17,54.0,16.0,6.0,6.0,3.0,3.0,17,7,2016
2016-07-18,54.0,32.5,5.0,7.0,3.0,4.0,18,7,2016
2016-07-19,55.0,32.5,5.0,5.0,2.0,3.0,19,7,2016
2016-07-20,44.0,32.5,6.0,5.0,3.0,5.0,20,7,2016
2016-07-21,56.0,32.5,6.0,6.0,4.0,4.0,21,7,2016
2016-07-22,54.0,32.5,16.0,6.0,3.0,5.0,22,7,2016
2016-07-23,60.0,32.5,16.0,7.0,4.0,6.0,23,7,2016
2016-07-24,57.0,32.5,29.0,8.0,3.0,6.0,24,7,2016
2016-07-25,61.0,37.0,59.0,1.0,4.0,9.0,25,7,2016
2016-07-26,79.0,52.0,24.0,8.0,4.0,10.0,26,7,2016
2016-07-27,79.0,45.0,21.0,15.0,5.0,11.0,27,7,2016
2016-07-28,72.0,35.0,38.0,11.0,4.0,9.0,28,7,2016
2016-07-29,64.0,39.0,41.0,7.0,3.0,5.0,29,7,2016
2016-07-30,59.0,42.0,39.0,8.0,3.0,5.0,30,7,2016
2016-07-31,52.0,36.0,49.0,10.0,3.0,5.0,31,7,2016
2016-08-01,45.0,45.0,80.0,15.0,3.0,4.0,1,8,2016
