date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-06-23,168.0,141.0,42.0,18.0,17.0,9.0,23,6,2018
2018-06-24,155.0,220.0,29.0,21.0,16.0,9.0,24,6,2018
2018-06-25,171.0,139.0,13.0,24.0,20.0,10.0,25,6,2018
2018-06-26,162.0,96.0,28.0,21.0,12.0,10.0,26,6,2018
2018-06-27,142.0,81.0,14.0,20.0,9.0,10.0,27,6,2018
2018-06-28,83.0,97.0,14.0,27.0,9.0,9.0,28,6,2018
2018-06-29,151.0,99.0,13.0,26.0,10.0,10.0,29,6,2018
2018-06-30,136.0,108.0,9.0,25.0,11.0,11.0,30,6,2018
2018-07-01,119.0,222.0,10.0,22.0,11.0,7.0,1,7,2018
2018-07-02,126.0,129.0,24.0,26.0,8.0,9.0,2,7,2018
2018-07-03,136.0,111.0,33.0,22.0,8.0,8.0,3,7,2018
2018-07-04,148.0,110.0,21.0,20.0,8.0,7.0,4,7,2018
2018-07-05,140.0,132.0,20.0,18.0,8.0,8.0,5,7,2018
2018-07-06,149.0,119.0,34.0,17.0,9.0,8.0,6,7,2018
2018-07-07,157.0,119.0,42.0,19.0,9.0,7.0,7,7,2018
2018-07-08,151.0,170.0,18.0,28.0,8.0,9.0,8,7,2018
2018-07-09,155.0,115.0,25.0,23.0,8.0,8.0,9,7,2018
2018-07-10,128.0,115.0,16.0,20.0,9.0,9.0,10,7,2018
2018-07-11,128.0,132.0,30.0,18.0,9.0,9.0,11,7,2018
2018-07-12,126.0,83.0,7.0,18.0,8.0,8.0,12,7,2018
2018-07-13,100.0,95.0,9.0,16.0,8.0,10.0,13,7,2018
2018-07-14,93.0,107.0,14.0,15.0,8.0,9.0,14,7,2018
2018-07-15,102.0,92.0,7.0,19.0,9.0,11.0,15,7,2018
2018-07-16,87.0,102.0,36.0,18.0,9.0,10.0,16,7,2018
2018-07-17,102.0,105.0,15.0,12.0,8.0,8.0,17,7,2018
2018-07-18,107.0,92.0,12.0,14.0,8.0,9.0,18,7,2018
2018-07-19,107.0,83.0,7.0,14.0,8.0,9.0,19,7,2018
2018-07-20,110.0,106.0,28.0,15.0,9.0,12.0,20,7,2018
2018-07-21,157.0,71.0,7.0,14.0,9.0,10.0,21,7,2018
2018-07-22,106.0,93.0,8.0,9.0,9.0,9.0,22,7,2018
2018-07-23,103.0,115.0,15.0,11.0,10.0,11.0,23,7,2018
2018-07-24,141.0,108.0,5.0,16.0,13.0,10.0,24,7,2018
2018-07-25,138.0,46.0,4.0,16.0,9.0,8.0,25,7,2018
2018-07-26,89.0,31.0,4.0,13.0,8.0,8.0,26,7,2018
2018-07-27,76.0,50.0,9.0,16.0,9.0,9.0,27,7,2018
2018-07-28,91.0,87.0,8.0,24.0,9.0,9.0,28,7,2018
2018-07-29,151.0,85.0,4.0,25.0,8.0,6.0,29,7,2018
2018-07-30,140.0,119.0,8.0,30.0,8.0,9.0,30,7,2018
2018-07-31,159.0,120.0,9.0,28.0,11.0,8.0,31,7,2018
2018-08-01,149.0,152.0,7.0,26.0,11.0,7.0,1,8,2018
2018-08-02,163.0,152.0,6.0,31.0,13.0,8.0,2,8,2018
2018-08-03,161.0,146.0,9.0,27.0,11.0,8.0,3,8,2018
2018-08-04,163.0,139.0,3.0,26.0,11.0,7.0,4,8,2018
2018-08-05,166.0,82.0,4.0,20.0,9.0,9.0,5,8,2018
2018-08-06,123.0,81.0,9.0,20.0,9.0,9.0,6,8,2018
2018-08-07,140.0,67.0,13.0,21.0,8.0,10.0,7,8,2018
2018-08-08,131.0,99.0,13.0,23.0,9.0,9.0,8,8,2018
2018-08-09,142.0,92.0,14.0,31.0,9.0,11.0,9,8,2018
2018-08-10,123.0,82.0,6.0,22.0,10.0,8.0,10,8,2018
2018-08-11,108.0,93.0,7.0,22.0,11.0,8.0,11,8,2018
2018-08-12,125.0,75.0,9.0,18.0,9.0,8.0,12,8,2018
2018-08-13,113.0,90.0,13.0,21.0,8.0,10.0,13,8,2018
2018-08-14,117.0,84.0,19.0,22.0,8.0,8.0,14,8,2018
2018-08-15,112.0,73.0,19.0,22.0,8.0,11.0,15,8,2018
2018-08-16,103.0,65.0,16.0,22.0,8.0,9.0,16,8,2018
2018-08-17,89.0,82.0,58.0,28.0,8.0,11.0,17,8,2018
2018-08-18,100.0,72.0,33.0,18.0,5.0,11.0,18,8,2018
2018-08-19,107.0,50.0,12.0,27.0,10.0,12.0,19,8,2018
2018-08-20,115.0,29.0,11.0,28.0,10.0,11.0,20,8,2018
2018-08-21,150.0,53.0,8.0,30.0,9.0,10.0,21,8,2018
2018-08-22,172.0,75.0,3.0,20.0,11.0,9.0,22,8,2018
2018-08-23,102.0,101.0,5.0,21.0,10.0,9.0,23,8,2018
2018-08-24,113.0,100.0,4.0,21.0,12.0,8.0,24,8,2018
2018-08-25,112.0,73.0,8.0,13.0,10.0,7.0,25,8,2018
2018-08-26,90.0,55.0,5.0,16.0,10.0,8.0,26,8,2018
2018-08-27,78.0,67.0,6.0,19.0,9.0,12.0,27,8,2018
2018-08-28,98.0,120.0,31.0,14.0,11.0,14.0,28,8,2018
2018-08-29,151.0,92.0,16.0,3.0,10.0,12.0,29,8,2018
2018-08-30,129.0,121.0,5.0,3.0,12.0,9.0,30,8,2018
2018-08-31,136.0,95.0,6.0,2.0,11.0,13.0,31,8,2018
2018-09-01,125.0,69.0,21.0,18.0,9.0,9.0,1,9,2018
2018-09-02,118.0,63.0,8.0,18.0,10.0,13.0,2,9,2018
2018-09-03,123.0,102.0,20.0,18.0,11.0,19.0,3,9,2018
2018-09-04,164.0,92.0,4.0,18.0,11.0,12.0,4,9,2018
2018-09-05,129.0,118.0,7.0,29.0,10.0,11.0,5,9,2018
2018-09-06,124.0,78.0,9.0,29.0,9.0,11.0,6,9,2018
2018-09-07,117.0,89.0,5.0,22.0,8.0,9.0,7,9,2018
2018-09-08,117.0,63.0,2.0,26.0,10.0,10.0,8,9,2018
2018-09-09,137.0,96.0,18.0,29.0,12.0,13.0,9,9,2018
2018-09-10,146.0,100.0,4.0,22.0,12.0,10.0,10,9,2018
2018-09-11,115.0,104.0,5.0,14.0,10.0,8.0,11,9,2018
2018-09-12,118.0,105.0,7.0,13.0,13.0,7.0,12,9,2018
2018-09-13,111.0,107.0,12.0,13.0,12.0,7.0,13,9,2018
2018-09-14,113.0,163.0,12.0,14.0,12.0,9.0,14,9,2018
2018-09-15,179.0,116.0,15.0,12.0,10.0,7.0,15,9,2018
2018-09-16,134.0,127.0,24.0,11.0,10.0,8.0,16,9,2018
2018-09-17,147.0,146.0,28.0,11.0,9.0,9.0,17,9,2018
2018-09-18,160.0,140.0,33.0,13.0,11.0,9.0,18,9,2018
2018-09-19,154.0,144.0,42.0,15.0,10.0,11.0,19,9,2018
2018-09-20,166.0,155.0,13.0,18.0,12.0,11.0,20,9,2018
2018-09-21,182.0,72.0,7.0,18.0,12.0,9.0,21,9,2018
2018-09-22,109.0,104.5,9.0,18.0,11.0,8.0,22,9,2018
2018-09-23,129.0,104.5,6.0,13.0,12.0,8.0,23,9,2018
2018-09-24,86.0,104.5,7.0,16.0,11.0,8.0,24,9,2018
2018-09-25,79.0,104.5,17.0,20.0,11.0,10.0,25,9,2018
2018-09-26,122.0,104.5,25.0,21.0,12.0,14.0,26,9,2018
2018-09-27,158.0,104.5,24.0,25.0,12.0,21.0,27,9,2018
2018-09-28,170.0,104.5,34.0,22.0,12.0,13.0,28,9,2018
2018-09-29,172.0,104.5,25.0,18.0,12.0,9.0,29,9,2018
2018-09-30,142.0,198.0,30.0,22.0,13.0,11.0,30,9,2018
