date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-09-24,135.0,84.0,40.5,25.0,3.0,5.0,24,9,2018
2018-09-25,135.0,84.0,40.5,25.0,3.0,5.0,25,9,2018
2018-09-26,135.0,84.0,40.5,25.0,3.0,5.0,26,9,2018
2018-09-27,135.0,84.0,40.5,25.0,3.0,5.0,27,9,2018
2018-09-28,135.0,84.0,40.5,25.0,3.0,5.0,28,9,2018
2018-09-29,135.0,84.0,40.5,25.0,3.0,5.0,29,9,2018
2018-09-30,135.0,84.0,40.5,25.0,3.0,5.0,30,9,2018
2018-10-01,135.0,84.0,40.5,25.0,3.0,5.0,1,10,2018
2018-10-02,135.0,84.0,40.5,25.0,3.0,5.0,2,10,2018
2018-10-03,135.0,84.0,40.5,25.0,3.0,5.0,3,10,2018
2018-10-04,135.0,84.0,40.5,25.0,3.0,5.0,4,10,2018
2018-10-05,135.0,84.0,40.5,25.0,3.0,5.0,5,10,2018
2018-10-06,135.0,84.0,40.5,25.0,3.0,5.0,6,10,2018
2018-10-07,135.0,84.0,40.5,25.0,3.0,5.0,7,10,2018
2018-10-08,135.0,84.0,40.5,25.0,3.0,5.0,8,10,2018
2018-10-09,135.0,84.0,40.5,25.0,3.0,5.0,9,10,2018
2018-10-10,135.0,84.0,40.5,25.0,3.0,5.0,10,10,2018
2018-10-11,135.0,84.0,40.5,25.0,3.0,5.0,11,10,2018
2018-10-12,135.0,84.0,40.5,25.0,3.0,5.0,12,10,2018
2018-10-13,135.0,84.0,40.5,25.0,3.0,5.0,13,10,2018
2018-10-14,135.0,84.0,40.5,25.0,3.0,5.0,14,10,2018
2018-10-15,135.0,84.0,40.5,25.0,3.0,5.0,15,10,2018
2018-10-16,135.0,84.0,40.5,25.0,3.0,5.0,16,10,2018
2018-10-17,135.0,84.0,40.5,25.0,3.0,5.0,17,10,2018
2018-10-18,135.0,84.0,40.5,25.0,3.0,5.0,18,10,2018
2018-10-19,135.0,84.0,40.5,25.0,3.0,5.0,19,10,2018
2018-10-20,135.0,84.0,40.5,25.0,3.0,5.0,20,10,2018
2018-10-21,135.0,84.0,40.5,25.0,3.0,5.0,21,10,2018
2018-10-22,135.0,84.0,40.5,25.0,3.0,5.0,22,10,2018
2018-10-23,135.0,84.0,40.5,25.0,3.0,5.0,23,10,2018
2018-10-24,135.0,84.0,40.5,25.0,3.0,5.0,24,10,2018
2018-10-25,135.0,84.0,40.5,25.0,3.0,5.0,25,10,2018
2018-10-26,135.0,84.0,40.5,25.0,3.0,5.0,26,10,2018
2018-10-27,135.0,84.0,40.5,25.0,3.0,5.0,27,10,2018
2018-10-28,135.0,84.0,40.5,25.0,3.0,5.0,28,10,2018
2018-10-29,135.0,84.0,40.5,25.0,3.0,5.0,29,10,2018
2018-10-30,135.0,84.0,40.5,25.0,3.0,5.0,30,10,2018
2018-10-31,135.0,84.0,40.5,25.0,3.0,5.0,31,10,2018
