date,pm25,o3,no2,so2,co,dd,mm,yy
2016-02-03,170.0,14.0,8.0,1.0,7.0,3,2,2016
2016-02-04,211.0,15.0,7.0,1.0,5.0,4,2,2016
2016-02-05,277.0,8.0,7.0,1.0,9.0,5,2,2016
2016-02-06,172.0,10.0,7.0,1.0,8.0,6,2,2016
2016-02-07,182.0,10.0,6.0,1.0,7.0,7,2,2016
2016-02-08,208.0,15.0,7.0,1.0,12.0,8,2,2016
2016-02-09,246.0,18.0,7.0,1.0,10.0,9,2,2016
2016-02-10,200.0,23.0,6.0,1.0,124.0,10,2,2016
2016-02-11,197.0,70.0,10.0,1.0,2.0,11,2,2016
2016-02-12,150.0,16.0,7.0,1.0,3.0,12,2,2016
2016-02-13,150.0,15.0,6.0,1.0,6.0,13,2,2016
2016-02-14,150.0,13.0,6.0,1.0,9.0,14,2,2016
2016-02-15,117.0,235.0,6.0,1.0,8.0,15,2,2016
2016-02-16,165.0,27.0,7.0,1.0,3.0,16,2,2016
2016-02-17,155.0,19.0,6.0,1.0,4.0,17,2,2016
2016-02-18,137.0,57.0,7.0,1.0,4.0,18,2,2016
2016-02-19,145.0,48.0,6.0,1.0,3.0,19,2,2016
2016-02-20,128.0,222.0,3.0,1.0,3.0,20,2,2016
2016-02-21,110.0,66.0,2.0,1.0,4.0,21,2,2016
2016-02-22,106.0,36.0,7.0,1.0,5.0,22,2,2016
2016-02-23,133.0,42.0,4.0,1.0,7.0,23,2,2016
2016-02-24,110.0,43.0,3.0,1.0,7.0,24,2,2016
2016-02-25,117.0,23.0,3.0,1.0,7.0,25,2,2016
2016-02-26,118.0,7.0,6.0,1.0,8.0,26,2,2016
2016-02-27,127.0,8.0,4.0,1.0,7.0,27,2,2016
2016-02-28,93.0,17.0,3.0,1.0,6.0,28,2,2016
2016-02-29,176.0,23.0,6.0,1.0,8.0,29,2,2016
2016-03-01,181.0,27.0,6.0,1.0,9.0,1,3,2016
2016-03-02,185.0,14.0,4.0,1.0,5.0,2,3,2016
2016-03-03,71.0,113.0,6.0,1.0,8.0,3,3,2016
2016-03-04,100.0,33.0,5.0,1.0,9.0,4,3,2016
2016-03-05,92.0,36.0,4.0,1.0,8.0,5,3,2016
2016-03-06,75.0,32.0,7.0,1.0,10.0,6,3,2016
2016-03-07,95.0,32.0,4.0,2.0,9.0,7,3,2016
2016-03-08,69.0,30.0,7.0,4.0,14.0,8,3,2016
2016-03-09,124.0,13.0,4.0,1.0,8.0,9,3,2016
2016-03-10,214.0,8.0,2.0,1.0,7.0,10,3,2016
2016-03-11,85.0,13.0,3.0,1.0,6.0,11,3,2016
2016-03-12,121.0,16.0,1.0,1.0,4.0,12,3,2016
2016-03-13,77.0,15.0,2.0,1.0,5.0,13,3,2016
2016-03-14,143.0,15.0,2.0,1.0,6.0,14,3,2016
2016-03-15,165.0,17.0,2.0,1.0,6.0,15,3,2016
2016-03-16,183.0,13.0,2.0,1.0,5.0,16,3,2016
