date, pm25, pm10, o3, no2, co
30-10-19,43,42,59,58,41
29-10-19,45,39,58,58,43
28-10-19,63,42,49,58,28
27-10-19,21,60,38,58,11
26-10-19,21,16,46,57,12
25-10-19,21,16,36,56,18
24-10-19,28,16,35,57,18
23-10-19,29,25,30,57,40
22-10-19,46,27,36,57,36
21-10-19,29,26,41,58,32
20-10-19,30,27,46,58,24
19-10-19,30,29,27,57,17
18-10-19,30,29,33,7,52
17-10-19,30,29,33,7,52
16-10-19,30,29,33,7,52
15-10-19,30,29,33,7,52
14-10-19,30,29,33,7,52
13-10-19,30,29,33,7,52
12-10-19,30,29,33,7,52
11-10-19,30,29,33,7,52
10-10-19,30,29,33,7,52
09-10-19,30,29,33,7,52
08-10-19,30,29,33,7,52
07-10-19,30,29,33,7,52
06-10-19,30,29,33,7,52
05-10-19,30,29,33,7,52
04-10-19,30,29,33,7,52
03-10-19,30,29,33,7,52
02-10-19,30,29,33,7,52
01-10-19,30,29,33,7,52
30-09-19,30,29,33,7,52
29-09-19,30,29,33,7,52
28-09-19,30,29,33,7,52
27-09-19,30,29,33,7,52
26-09-19,30,29,33,7,52
25-09-19,30,29,33,7,52
24-09-19,30,29,33,7,52
23-09-19,30,29,39,8,43
22-09-19,31,29,45,14,42
21-09-19,37,30,36,16,41
20-09-19,44,35,40,14,47
19-09-19,36,42,32,14,55
18-09-19,37,35,42,13,57
17-09-19,24,36,32,9,43
16-09-19,36,24,32,7,37
15-09-19,36,35,33,14,38
14-09-19,31,35,35,17,33
13-09-19,30,30,29,13,37
12-09-19,41,29,29,10,33
11-09-19,33,39,29,10,37
10-09-19,34,32,30,8,38
09-09-19,36,33,28,9,39
08-09-19,36,34,29,12,43
07-09-19,36,34,29,13,40
06-09-19,33,35,29,12,39
05-09-19,42,32,28,18,38
04-09-19,34,40,29,24,42
03-09-19,34,33,29,83,41
02-09-19,27,34,30,64,34
01-09-19,24,26,26,53,36
31-08-19,35,23,30,54,39
30-08-19,33,33,29,51,40
29-08-19,34,32,31,47,42
28-08-19,32,32,36,35,40
27-08-19,38,31,35,34,44
26-08-19,41,36,34,34,42
25-08-19,37,39,37,34,39
24-08-19,34,35,38,34,39
23-08-19,35,32,32,34,40
22-08-19,35,33,27,34,42
21-08-19,34,33,32,34,43
20-08-19,39,33,36,31,45
19-08-19,32,38,45,25,44
18-08-19,32,30,38,34,41
17-08-19,29,30,36,34,39
16-08-19,27,28,35,34,39
15-08-19,34,26,30,34,41
14-08-19,34,33,30,34,40
13-08-19,23,33,34,34,45
12-08-19,24,22,31,34,39
11-08-19,41,23,26,34,38
10-08-19,27,39,31,34,42
09-08-19,31,26,32,34,40
08-08-19,31,30,34,34,37
07-08-19,25,31,33,34,41
06-08-19,24,28,27,34,43
05-08-19,24,27,28,34,43
04-08-19,24,27,27,34,44
03-08-19,25,27,31,34,43
02-08-19,28,30,28,34,43
01-08-19,29,39,48,34,37
31-07-19,25,40,55,34,34
30-07-19,25,36,57,34,34
29-07-19,26,36,55,34,36
